PUMA Code,PUMA Name,State,Estimated hesitant,Estimated unsure or hesitant,Estimated strongly hesitant,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
1701500,Macon County--Decatur City,Illinois,9.52,16.52,5.85,0.0228,0.0022,0.0101,0.1468,0.0001,0.7626
1701602,"Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties",Illinois,9.86,16.41,6.12,0.0196,0.0018,0.0045,0.0203,0.0004,0.939
1701701,Peoria County--Peoria City,Illinois,8.7,15.01,5.24,0.0481,0.0025,0.0406,0.1761,0.0001,0.699
1701900,Tazewell County,Illinois,8.94,14.77,5.43,0.0234,0.0014,0.0103,0.0124,0.0001,0.9395
1702000,McLean County,Illinois,7.82,13.62,4.78,0.0492,0.0017,0.0508,0.0826,0.0002,0.7947
1702100,Champaign County--Champaign & Urbana Cities,Illinois,7.67,13.81,4.67,0.0596,0.0014,0.1073,0.1335,0.0007,0.6716
1702200,"Livingston, Ford, Iroquois & Vermilion Counties",Illinois,10.6,18.13,6.53,0.0513,0.0019,0.0081,0.0821,0.0001,0.8417
1702300,Kankakee County,Illinois,9.55,16.36,5.84,0.104,0.0018,0.0084,0.1511,0,0.7197
1702400,LaSalle County,Illinois,9.58,16.03,5.89,0.0971,0.0007,0.0071,0.0258,0.0002,0.8544
1702501,"Knox, Stark, Bureau, Marshall & Woodford Counties",Illinois,8.94,15.09,5.47,0.0511,0.0012,0.0081,0.0342,0,0.891
1702601,DeKalb County,Illinois,7.96,13.6,4.75,0.1115,0.0005,0.0227,0.0776,0,0.7681
1702700,Stephenson & Ogle Counties,Illinois,8.79,14.77,5.34,0.0723,0.002,0.0068,0.0505,0.0001,0.8475
1702801,Winnebago County (Southeast & West)--Rockford City,Illinois,9.45,16.52,5.74,0.1575,0.002,0.0286,0.1706,0,0.6104
1702901,Winnebago (Northeast) & Boone Counties,Illinois,8.88,14.78,5.41,0.1205,0.0018,0.0177,0.0244,0.0001,0.8154
1703005,Kane County (Southeast)--Aurora Township,Illinois,8.52,15.3,5.11,0.5774,0.002,0.024,0.0964,0.0009,0.2845
1703007,"Kane County (East)--St. Charles, Batavia (Central) & Geneva (Central) Townships",Illinois,6.81,11.02,4.13,0.1085,0.0009,0.0355,0.0219,0.0002,0.8139
1703008,Kane County (Northeast)--Elgin (North & Central) & Dundee Townships,Illinois,8.42,14.32,4.98,0.4216,0.0005,0.0529,0.0623,0.0001,0.4462
1703009,Kane County (West),Illinois,6.13,9.6,3.74,0.0953,0.0002,0.0493,0.0201,0.0002,0.819
1703102,Will County (West Central)--Joliet & Troy Townships,Illinois,9.1,15.8,5.54,0.3253,0.0007,0.0119,0.1829,0,0.4568
1703105,Will County (Northwest Central)--Plainfield & Lockport Townships,Illinois,8.28,13.96,5.01,0.214,0.0003,0.0403,0.1062,0,0.6158
1703106,Will County (Northwest)--DuPage & Wheatland Townships,Illinois,6.09,10.14,3.71,0.1703,0.0012,0.1529,0.109,0.0008,0.5329
1703107,"Will County (Northeast)--Frankfort, Homer & New Lenox (North) Townships",Illinois,6.63,10.49,4.03,0.065,0.0002,0.0229,0.0212,0,0.8743
1703108,Will County (South),Illinois,9.12,15.14,5.58,0.0705,0.0006,0.0062,0.1356,0.0001,0.7706
1703202,DuPage County (Central)--Milton Township,Illinois,6.03,9.73,3.69,0.0698,0.001,0.0905,0.047,0.0002,0.7636
1703203,DuPage County (South Central)--Lisle Township,Illinois,5.63,9.43,3.37,0.0844,0.001,0.1215,0.0482,0,0.721
1703204,DuPage County (Southeast)--Downers Grove Township,Illinois,5.58,9.2,3.38,0.0724,0.0003,0.1076,0.0442,0.0001,0.7557
1703205,DuPage County (East Central)--York Township,Illinois,6.42,10.6,3.86,0.1025,0.0006,0.1039,0.0428,0.0001,0.7238
1703207,Dupage County (Northeast)--Addison & Bloomingdale (North) Townships,Illinois,7.45,12.52,4.51,0.282,0.0002,0.0681,0.0257,0.0003,0.6092
1703208,"DuPage County (Northwest)--Bloomingdale (South), Wayne & Winfield (North) Townships",Illinois,6.77,11.25,4.12,0.2274,0.0007,0.1516,0.0476,0.0006,0.5509
1703209,DuPage County (Southwest)--Naperville & Winfield (South) Townships,Illinois,6.2,10.11,3.71,0.1397,0.0002,0.1686,0.0733,0,0.5943
1703306,"Lake County (Northwest)--Avon, Lake Villa, Antioch & Grant Townships",Illinois,8.35,13.87,5.07,0.2155,0.0009,0.034,0.0348,0.0004,0.6918
1703307,"Lake County (Northeast)--Waukegan, Zion, Benton & Newport Townships",Illinois,9.35,16.56,5.6,0.4729,0.0023,0.0289,0.1872,0.0001,0.2783
1703308,"Lake County (Southwest)--Ela, Freemont, Wauconda & Cuba Townships",Illinois,5.93,9.53,3.65,0.115,0.0002,0.078,0.0132,0.0002,0.7765
1703309,"Lake County (East Central)--Warren, Libertyville (North & East) & Shields Townships",Illinois,7.03,12.43,4.28,0.1809,0.0012,0.1058,0.071,0.0004,0.6139
1703310,"Lake County--Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships",Illinois,4.95,7.88,3.05,0.0846,0.0017,0.1407,0.0154,0.0003,0.7392
1703401,Cook County (Northwest)--Palatine & Barrington Townships,Illinois,6.38,10.47,3.87,0.1659,0.0002,0.1406,0.0221,0.0012,0.6455
1703407,"Cook County (West Central)--Proviso, Riverside & River Forest Townships",Illinois,6.89,11.9,4.17,0.2872,0.0005,0.0227,0.292,0,0.3825
1703408,"Cook County (Central)--Cicero, Berwyn & Oak Park Townships",Illinois,7.49,13.27,4.36,0.6018,0.0008,0.0235,0.0808,0.0001,0.2746
1703409,Cook County (West Central)--Lyons & Stickney Townships,Illinois,8.32,13.75,5.08,0.2962,0.0008,0.0223,0.0523,0,0.6135
1703410,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships",Illinois,7.01,11.4,4.3,0.0928,0.0005,0.0406,0.0325,0.0003,0.8223
1703411,Cook County (South Central)--Worth & Calumet Townships,Illinois,8.21,13.94,4.91,0.2162,0.0007,0.0197,0.18,0,0.5695
1703412,Cook County (South Central)--Bremen & Orland (East) Townships,Illinois,8.14,14.39,4.85,0.1461,0.0004,0.0289,0.3374,0.0001,0.4731
1703413,Cook County (Southeast)--Thornton Township,Illinois,9.45,17.55,5.67,0.1319,0.001,0.006,0.7053,0,0.1407
1703414,Cook County (South)--Bloom & Rich Townships,Illinois,7.55,13.85,4.55,0.1367,0.0006,0.0096,0.6,0.0001,0.226
1703415,Cook County (North)--Wheeling Township (North & East),Illinois,6.35,10.53,3.79,0.1868,0.0016,0.1314,0.015,0.0002,0.6464
1703416,Cook County (Northeast)--Northfield & New Trier Townships,Illinois,4.22,6.55,2.64,0.044,0.0008,0.1328,0.0147,0,0.7904
1703417,Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships,Illinois,7.06,12.12,4.26,0.3497,0.0015,0.1597,0.0488,0.0001,0.4186
1703418,Cook County (Northwest)--Schaumburg Township (South & Central),Illinois,6.66,11,3.96,0.1459,0.0026,0.2116,0.032,0.0017,0.5809
1703419,Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships,Illinois,6.83,11.46,4.16,0.1864,0.0013,0.0963,0.0297,0.0006,0.668
1703420,"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park",Illinois,6.18,10.37,3.8,0.1366,0.0017,0.1347,0.0216,0.0009,0.6802
1703421,Cook County (North)--Niles & Evanston Townships,Illinois,5.31,9.26,3.24,0.1073,0.0005,0.1939,0.0986,0.0005,0.5607
1703422,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare",Illinois,8.5,14.15,5.1,0.3253,0.0003,0.0493,0.0153,0.0001,0.5989
1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park",Illinois,7.12,12.68,4.15,0.1637,0.0023,0.0934,0.1903,0.0001,0.5169
1703502,Chicago City (North)--Lake View & Lincoln Park,Illinois,5.49,8.92,3.22,0.0764,0.0005,0.0704,0.0437,0.0004,0.7805
1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center",Illinois,6.75,11.95,4.07,0.1699,0.0018,0.1551,0.0724,0.0002,0.5549
1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park",Illinois,6.74,11.91,3.98,0.3641,0.0009,0.1324,0.0351,0.0001,0.4356
1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park",Illinois,7.65,12.71,4.59,0.3517,0.0014,0.0629,0.0147,0.0002,0.5491
1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare",Illinois,8.42,15.61,5.08,0.4634,0.001,0.0126,0.4027,0.0001,0.1082
1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa",Illinois,7.01,11.99,4.04,0.5138,0.0004,0.0368,0.0344,0.0006,0.391
1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park",Illinois,10.32,19.37,6.26,0.4934,0.0011,0.0031,0.4418,0.0001,0.0517
1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side",Illinois,6.18,10.58,3.59,0.265,0.0007,0.0927,0.1319,0.0004,0.4848
1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side",Illinois,4.99,8.32,2.95,0.064,0.0011,0.1473,0.1056,0,0.6537
1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park",Illinois,6.95,13.29,4.28,0.5436,0.0005,0.2072,0.0757,0,0.1649
1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn",Illinois,7.73,13.71,4.53,0.723,0.0006,0.0099,0.0344,0,0.2275
1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",Illinois,10.11,19.36,6.19,0.2319,0.0005,0.0028,0.7326,0.0002,0.0183
1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",Illinois,8.17,15.78,4.88,0.035,0.0019,0.0505,0.76,0.0001,0.1262
1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly",Illinois,7.16,12.7,4.33,0.1699,0.0007,0.0079,0.5091,0.0001,0.2925
1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",Illinois,8.93,16.81,5.4,0.0139,0.0008,0.0039,0.955,0,0.0138
1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering",Illinois,8.68,16.53,5.2,0.2894,0.0006,0.0019,0.6318,0.0001,0.0681
1703601,"McHenry County (North, West & Central)",Illinois,7.93,12.83,4.79,0.1483,0.0004,0.0308,0.0155,0.0001,0.7917
1703602,"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships",Illinois,7.87,12.88,4.84,0.1171,0.001,0.0255,0.0123,0,0.8259
1703700,Kendall & Grundy Counties,Illinois,7.76,12.49,4.72,0.1618,0.0005,0.025,0.0532,0.0001,0.7431
1800101,Lake County (Northwest)--Hammond & East Chicago Cities,Indiana,11.28,16.82,6.91,0.433,0.0015,0.0084,0.2444,0.0001,0.2976
1800102,Lake County (Northeast)--Gary City & Griffith Town,Indiana,13.66,20.22,8.41,0.1247,0.0015,0.0053,0.5175,0,0.3281
1800103,Lake County (Central),Indiana,9.86,13.37,6.05,0.1398,0.0036,0.0265,0.1404,0.0003,0.6653
1800104,Lake County (South),Indiana,10.87,14.3,6.66,0.0961,0.0012,0.0153,0.0461,0.0004,0.8258
1800200,Porter County,Indiana,11.33,15.29,6.98,0.0997,0.0016,0.0138,0.0346,0.0008,0.832
1800300,LaPorte County,Indiana,13.84,18.99,8.77,0.066,0.0029,0.0057,0.1092,0,0.7927
1800401,St. Joseph County (North)--South Bend City,Indiana,13.46,19.47,8.43,0.1434,0.0027,0.0176,0.2305,0.0009,0.5679
1800402,St. Joseph County (Outside South Bend City)--Mishawaka City,Indiana,11.33,15.39,6.93,0.0449,0.003,0.0286,0.0493,0.0007,0.8432
1800500,Elkhart County--Elkhart & Goshen Cities,Indiana,13.68,18.44,8.73,0.1593,0.0014,0.0105,0.054,0.0005,0.7478
1800600,"Noble, DeKalb, LaGrange & Steuben Counties",Indiana,14.83,19.66,9.76,0.0542,0.0008,0.0038,0.004,0.0002,0.9224
1800700,"Jasper, Starke, Fulton, Newton & Pulaski Counties",Indiana,13.16,17.75,8.25,0.0505,0.001,0.0033,0.0062,0.0003,0.927
1800800,Kosciusko & Marshall Counties,Indiana,13.13,17.73,8.32,0.0875,0.0015,0.0097,0.0068,0.0002,0.8763
1800900,"Huntington, Whitley, Adams & Wells Counties",Indiana,13.83,18.58,8.82,0.0303,0.0026,0.0045,0.0081,0.0002,0.9451
1801001,Allen County (Central)--Fort Wayne City (South),Indiana,13.3,19.05,8.1,0.1265,0.0021,0.033,0.1749,0.0007,0.6175
1801002,Allen County (Central)--Fort Wayne City (North),Indiana,11.2,15.95,6.86,0.0575,0.0017,0.0549,0.1066,0.0002,0.7461
1801003,Allen County (Outside Fort Wayne City),Indiana,10.32,13.39,6.34,0.0317,0.0008,0.025,0.0452,0.0002,0.8752
1801100,"Montgomery, Clinton, White, Carroll & Benton Counties",Indiana,13.9,19.08,8.73,0.0829,0.0019,0.0042,0.0072,0.0004,0.8921
1801200,Tippecanoe County--Lafayette & West Lafayette Cities,Indiana,10.84,15.8,6.76,0.0833,0.0025,0.081,0.0519,0.0003,0.7583
1801300,"Howard, Cass & Tipton Counties--Kokomo City",Indiana,13.65,18.57,8.57,0.0666,0.0037,0.0115,0.0488,0.0002,0.8468
1801400,"Grant, Miami & Wabash Counties",Indiana,13.73,18.95,8.71,0.036,0.0048,0.0073,0.0516,0.0001,0.8815
1801500,"Henry, Randolph, Jay & Blackford Counties",Indiana,14.43,19.8,9.16,0.0244,0.0015,0.0044,0.0135,0.0002,0.9383
1801600,"Clay, Sullivan, Parke, Fountain, Vermillion & Warren Counties",Indiana,14.07,19.21,8.9,0.0142,0.0019,0.003,0.0133,0.0002,0.9493
1801700,Vigo County--Terre Haute City,Indiana,13.63,19.15,8.5,0.0269,0.0017,0.0185,0.0667,0.0007,0.8549
1801801,Boone & Hamilton (Northwest) Counties,Indiana,9.83,13.18,6.1,0.0367,0.0014,0.0276,0.0223,0,0.8984
1801802,Hamilton County (Central)--Carmel City & Fishers Town (West),Indiana,6.99,9.18,4.29,0.0374,0.0036,0.0932,0.0354,0.0002,0.8053
1801803,Hamilton County (East)--Noblesville City & Fishers Town (East),Indiana,9.3,12.09,5.69,0.0409,0.0006,0.0407,0.0484,0.0004,0.8428
1801900,Madison County--Anderson City,Indiana,13.76,18.84,8.6,0.0409,0.0016,0.0051,0.0775,0.0001,0.8485
1802000,Delaware County--Muncie City,Indiana,12.87,18.24,7.92,0.0248,0.0009,0.0143,0.0686,0.0008,0.868
1802100,"Morgan, Putnam & Brown Counties",Indiana,13.43,17.95,8.45,0.017,0.0007,0.013,0.0109,0.0001,0.9466
1802200,Hendricks County,Indiana,10.55,13.93,6.49,0.039,0.0015,0.029,0.0671,0.0001,0.8425
1802301,Marion County--Pike & Washington (Northwest) Townships--Indianapolis City (Northwest),Indiana,10.84,16.26,6.57,0.1363,0.0009,0.0267,0.4494,0,0.3513
1802302,Marion County--Washington Township (South & East)--Indianapolis City (North),Indiana,10.42,14.54,6.28,0.0438,0.0014,0.0326,0.2165,0,0.6675
1802303,Marion County--Lawrence Township--Indianapolis (Northeast) & Lawrence Cities,Indiana,11.19,16.1,6.93,0.0949,0.0023,0.0132,0.3383,0.0001,0.5144
1802304,Marion County--Wayne & Decatur (Northwest) Townships--Indianapolis City (West),Indiana,13.65,19.84,8.42,0.2126,0.0018,0.0151,0.2962,0.0003,0.437
1802305,Marion County--Center Township--Indianapolis City (Central),Indiana,14,20.32,8.72,0.0931,0.0029,0.0205,0.3473,0.0003,0.5047
1802306,Marion County--Warren & Franklin Townships--Indianapolis City (East & Southeast),Indiana,12.66,18,7.75,0.0809,0.0023,0.0211,0.2539,0.0003,0.6133
1802307,Marion County--Perry & Decatur (South & East) Townships--Indianapolis City (South),Indiana,12.3,17.26,7.65,0.0603,0.0018,0.0977,0.0714,0.0001,0.7461
1802400,Johnson County--Greenwood City,Indiana,11.59,15.48,7.22,0.0358,0.0012,0.0338,0.0238,0.0002,0.89
1802500,Hancock & Shelby Counties,Indiana,13.2,17.61,8.35,0.0305,0.0002,0.0071,0.0192,0,0.9234
1802600,"Wayne, Fayette, Rush & Union Counties",Indiana,13.8,18.9,8.66,0.0237,0.0014,0.008,0.0352,0,0.9121
1802700,"Greene, Daviess, Owen, Orange & Martin Counties",Indiana,13.51,18.25,8.53,0.0209,0.0023,0.0037,0.0096,0.0004,0.951
1802800,Monroe County--Bloomington City,Indiana,10.96,15.83,6.71,0.0341,0.0018,0.0667,0.0303,0.0002,0.8351
1802900,Bartholomew & Jackson Counties--Columbus City,Indiana,11.49,15.49,7.06,0.0684,0.0019,0.056,0.0138,0.0004,0.838
1803000,"Jefferson, Jennings, Decatur & Scott Counties",Indiana,14.17,19.22,8.9,0.0241,0.0029,0.0077,0.0116,0,0.9439
1803100,"Dearborn, Franklin, Ripley, Switzerland & Ohio Counties",Indiana,12.87,17.1,8.06,0.0139,0.0011,0.007,0.0058,0.0001,0.9607
1803200,"Warrick, Gibson & Posey Counties",Indiana,11.44,15.28,7.13,0.0166,0.0012,0.0155,0.0176,0,0.9347
1803300,Vanderburgh County--Evansville City,Indiana,12.78,17.82,7.99,0.0266,0.0011,0.0123,0.095,0.0017,0.8361
1803400,"Dubois, Knox, Spencer, Perry, Pike & Crawford Counties",Indiana,12.5,17.05,7.79,0.0367,0.0009,0.0064,0.0151,0.0002,0.9302
1803500,"Floyd, Harrison & Washington Counties",Indiana,12.68,17.07,7.88,0.0253,0.0032,0.0075,0.0289,0,0.9162
1803600,Clark County--Jeffersonville City,Indiana,12.98,18.07,8.03,0.0538,0.0009,0.0104,0.0669,0.0001,0.832
1900100,"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties",Iowa,11.76,16.82,7.06,0.0621,0.0015,0.0062,0.0075,0.0005,0.9116
1900200,"Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties",Iowa,11.72,16.96,6.95,0.0384,0.0033,0.0093,0.0142,0.0007,0.924
1900400,"Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties",Iowa,12.54,18.27,7.45,0.0258,0.0014,0.0058,0.0123,0.0002,0.9459
1900500,Black Hawk County--Waterloo & Cedar Falls Cities,Iowa,12.1,17.78,7.21,0.044,0.0031,0.0237,0.094,0.0024,0.8109
1900600,"Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties",Iowa,12.85,18.52,7.69,0.0555,0.0034,0.0088,0.0192,0.0004,0.9029
1900700,"Dubuque, Buchanan, Jackson & Delaware Counties--Dubuque City",Iowa,12.19,17.84,7.24,0.0212,0.0018,0.0079,0.0231,0.0043,0.9272
1900800,"Clinton, Muscatine, Jones & Cedar Counties",Iowa,13.24,18.99,7.96,0.0772,0.0022,0.0075,0.0236,0.0001,0.8741
1900900,Scott County--Davenport City,Iowa,12.07,17.57,7.16,0.0672,0.0023,0.0271,0.0745,0.0002,0.7997
1901000,Linn County--Cedar Rapids City,Iowa,12.06,17.7,7.1,0.0325,0.002,0.0227,0.0539,0.0013,0.8581
1901100,Johnson County--Iowa City,Iowa,10.11,15.42,5.98,0.0562,0.0019,0.0622,0.072,0.0007,0.7837
1901200,"Marshall, Benton, Poweshiek, Tama & Iowa Counties",Iowa,12.93,18.77,7.81,0.1013,0.0113,0.0179,0.0106,0.0001,0.8441
1901300,Story & Boone Counties--Ames City,Iowa,11.66,17.31,6.91,0.0328,0.0017,0.0636,0.0188,0.0009,0.8608
1901400,"Warren, Jasper, Marion, Dallas (West) & Madison Counties",Iowa,12.39,17.6,7.43,0.0392,0.0016,0.0077,0.0113,0.0011,0.9261
1901500,Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities,Iowa,9.33,13.08,5.45,0.0481,0.001,0.0515,0.0321,0.0006,0.847
1901600,Polk County (East)--Ankeny & Altoona Cities,Iowa,11.33,15.96,6.65,0.0416,0.0018,0.0222,0.0284,0.0011,0.8839
1901700,Des Moines City,Iowa,13.13,19.97,7.75,0.1341,0.0021,0.0605,0.1102,0.0005,0.6591
1901800,South Central Iowa,Iowa,13.62,19.66,8.41,0.0355,0.0014,0.0056,0.004,0.0001,0.9398
1901900,"Northwest Central Iowa--Storm Lake, Denison & Cherokee Region",Iowa,11.75,17.12,7.04,0.0998,0.0029,0.0228,0.0132,0.0034,0.8485
1902000,Woodbury & Plymouth Counties--Sioux City,Iowa,13.2,19.26,7.92,0.1438,0.0136,0.0239,0.0278,0.0022,0.7664
1902100,Southwest Iowa--Council Bluffs City,Iowa,13.23,19.05,7.95,0.0542,0.0036,0.006,0.0122,0.0002,0.9082
